,Time,Discharge
171,26-01-1959 ,990.3580000000001
172,27-01-1959 ,1199.461
173,28-01-1959 ,1213.514
174,29-01-1959 ,1198.485
175,30-01-1959 ,1095.9660000000001
176,31-01-1959 ,935.082
177,01-01-1960 ,853.346
178,02-01-1960 ,853.346
179,03-01-1960 ,853.346
180,04-01-1960 ,853.346
181,05-01-1960 ,853.346
182,06-01-1960 ,853.346
183,07-01-1960 ,853.346
184,08-01-1960 ,853.346
185,09-01-1960 ,936.421
186,10-01-1960 ,1122.0410000000002
187,11-01-1960 ,910.515
188,12-01-1960 ,983.835
189,13-01-1960 ,1317.279
190,14-01-1960 ,1133.286
191,15-01-1960 ,1005.447
192,16-01-1960 ,915.316
193,17-01-1960 ,909.5419999999999
194,18-01-1960 ,909.5419999999999
195,19-01-1960 ,869.7869999999999
196,20-01-1960 ,743.9780000000001
197,21-01-1960 ,706.424
198,22-01-1960 ,635.595
199,23-01-1960 ,670.305
200,24-01-1960 ,673.1010000000001
201,25-01-1960 ,646.78
202,26-01-1960 ,568.701
203,27-01-1960 ,576.0409999999999
204,28-01-1960 ,641.612
205,29-01-1960 ,649.501
206,30-01-1960 ,462.884
207,31-01-1960 ,595.769
208,01-01-1961 ,1979.0079999999998
209,02-01-1961 ,2000.184
210,03-01-1961 ,2236.7270000000003
211,04-01-1961 ,2120.896
212,05-01-1961 ,1986.261
213,06-01-1961 ,2167.367
214,07-01-1961 ,2159.2529999999997
215,08-01-1961 ,2072.922
216,09-01-1961 ,2004.7279999999998
217,10-01-1961 ,1979.0079999999998
218,11-01-1961 ,1914.579
219,12-01-1961 ,1890.1889999999999
220,13-01-1961 ,1829.912
221,14-01-1961 ,1825.829
222,15-01-1961 ,1825.829
223,16-01-1961 ,1825.829
224,17-01-1961 ,1825.829
225,18-01-1961 ,1825.829
226,19-01-1961 ,1825.829
227,20-01-1961 ,1825.829
228,21-01-1961 ,1825.829
229,22-01-1961 ,1825.829
230,23-01-1961 ,1825.829
231,24-01-1961 ,1825.829
232,25-01-1961 ,1804.058
233,26-01-1961 ,1738.56
234,27-01-1961 ,1734.1270000000002
235,28-01-1961 ,1734.1270000000002
236,29-01-1961 ,1734.1270000000002
237,30-01-1961 ,1755.7060000000001
238,31-01-1961 ,1779.0220000000002
239,01-01-1962 ,1910.2160000000001
240,02-01-1962 ,1890.1889999999999
241,03-01-1962 ,1829.912
242,04-01-1962 ,1825.829
243,05-01-1962 ,1804.058
244,06-01-1962 ,1738.56
245,07-01-1962 ,1734.1270000000002
246,08-01-1962 ,1755.7060000000001
247,09-01-1962 ,1799.539
248,10-01-1962 ,1780.507
249,11-01-1962 ,1964.955
250,12-01-1962 ,2595.692
251,13-01-1962 ,3983.0040000000004
252,14-01-1962 ,4229.714
253,15-01-1962 ,4240.272
254,16-01-1962 ,4240.272
255,17-01-1962 ,4163.3640000000005
256,18-01-1962 ,6033.036999999999
257,19-01-1962 ,13639.243999999999
258,20-01-1962 ,20646.578999999998
259,21-01-1962 ,28398.11
260,22-01-1962 ,18001.476000000002
261,23-01-1962 ,10966.899
262,24-01-1962 ,7613.382
263,25-01-1962 ,5842.3640000000005
264,26-01-1962 ,4973.025
265,27-01-1962 ,4632.205
266,28-01-1962 ,4716.819
267,29-01-1962 ,4775.2390000000005
268,30-01-1962 ,4675.604
269,31-01-1962 ,4722.062
270,01-01-1963 ,822.444
271,02-01-1963 ,807.493
272,03-01-1963 ,762.664
273,04-01-1963 ,1201.222
274,05-01-1963 ,2402.9539999999997
275,06-01-1963 ,1580.7279999999998
276,07-01-1963 ,987.3889999999999
277,08-01-1963 ,1186.027
278,09-01-1963 ,1290.289
279,10-01-1963 ,1157.0510000000002
280,11-01-1963 ,857.561
281,12-01-1963 ,710.6039999999999
282,13-01-1963 ,688.4839999999999
283,14-01-1963 ,661.1389999999999
284,15-01-1963 ,699.2339999999999
285,16-01-1963 ,702.067
286,17-01-1963 ,823.495
287,18-01-1963 ,1345.8229999999999
288,19-01-1963 ,1753.4160000000002
289,20-01-1963 ,1617.8629999999998
290,21-01-1963 ,1528.91
291,22-01-1963 ,1640.255
292,23-01-1963 ,1476.89
293,24-01-1963 ,921.168
294,25-01-1963 ,713.4960000000001
295,26-01-1963 ,702.067
296,27-01-1963 ,702.067
297,28-01-1963 ,702.067
298,29-01-1963 ,702.067
299,30-01-1963 ,688.4839999999999
300,31-01-1963 ,647.763
301,01-01-1964 ,462.126
302,02-01-1964 ,487.009
303,03-01-1964 ,634.591
304,04-01-1964 ,673.434
305,05-01-1964 ,617.368
306,06-01-1964 ,612.2230000000001
307,07-01-1964 ,742.431
308,08-01-1964 ,751.4960000000001
309,09-01-1964 ,751.4960000000001
310,10-01-1964 ,767.145
311,11-01-1964 ,784.2610000000001
312,12-01-1964 ,667.4960000000001
313,13-01-1964 ,692.579
314,14-01-1964 ,1014.232
315,15-01-1964 ,895.248
316,16-01-1964 ,885.669
317,17-01-1964 ,885.669
318,18-01-1964 ,885.669
319,19-01-1964 ,885.669
320,20-01-1964 ,984.173
321,21-01-1964 ,1257.521
322,22-01-1964 ,1189.566
323,23-01-1964 ,1199.965
324,24-01-1964 ,1150.039
325,25-01-1964 ,1304.72
326,26-01-1964 ,1297.86
327,27-01-1964 ,1242.872
328,28-01-1964 ,1221.514
329,29-01-1964 ,1185.9460000000001
330,30-01-1964 ,1217.843
331,31-01-1964 ,1185.9460000000001
332,01-01-1965 ,698.5880000000001
333,02-01-1965 ,701.3989999999999
334,03-01-1965 ,701.3989999999999
335,04-01-1965 ,701.3989999999999
336,05-01-1965 ,701.3989999999999
337,06-01-1965 ,701.3989999999999
338,07-01-1965 ,714.802
339,08-01-1965 ,784.622
340,09-01-1965 ,889.65
341,10-01-1965 ,940.178
342,11-01-1965 ,943.2589999999999
343,12-01-1965 ,974.7489999999999
344,13-01-1965 ,1072.995
345,14-01-1965 ,1080.056
346,15-01-1965 ,1098.771
347,16-01-1965 ,1155.83
348,17-01-1965 ,1159.78
349,18-01-1965 ,1140.813
350,19-01-1965 ,1083.892
351,20-01-1965 ,1118.8239999999998
352,21-01-1965 ,1237.974
353,22-01-1965 ,1246.333
354,23-01-1965 ,1246.333
355,24-01-1965 ,1225.74
356,25-01-1965 ,1163.944
357,26-01-1965 ,1140.813
358,27-01-1965 ,1083.892
359,28-01-1965 ,1080.056
360,29-01-1965 ,1080.056
361,30-01-1965 ,1080.056
362,31-01-1965 ,1080.056
363,01-01-1966 ,1150.1689999999999
364,02-01-1966 ,1150.1689999999999
365,03-01-1966 ,1150.1689999999999
366,04-01-1966 ,1150.1689999999999
367,05-01-1966 ,1150.1689999999999
368,06-01-1966 ,1150.1689999999999
369,07-01-1966 ,1150.1689999999999
370,08-01-1966 ,1150.1689999999999
371,09-01-1966 ,1150.1689999999999
372,10-01-1966 ,1156.517
373,11-01-1966 ,1175.768
374,12-01-1966 ,1170.713
375,13-01-1966 ,1151.4769999999999
376,14-01-1966 ,1150.1689999999999
377,15-01-1966 ,1174.288
378,16-01-1966 ,1274.178
379,17-01-1966 ,1307.8339999999998
380,18-01-1966 ,1166.636
381,19-01-1966 ,1175.768
382,20-01-1966 ,1177.089
383,21-01-1966 ,1177.089
384,22-01-1966 ,1177.089
385,23-01-1966 ,1177.089
386,24-01-1966 ,1177.089
387,25-01-1966 ,1177.089
388,26-01-1966 ,1177.089
389,27-01-1966 ,1177.089
390,28-01-1966 ,1177.089
391,29-01-1966 ,1177.089
392,30-01-1966 ,1177.089
393,31-01-1966 ,1177.089
394,01-01-1967 ,816.865
395,02-01-1967 ,772.507
396,03-01-1967 ,835.387
397,04-01-1967 ,826.6080000000001
398,05-01-1967 ,770.4830000000001
399,06-01-1967 ,708.617
400,07-01-1967 ,609.861
401,08-01-1967 ,525.972
402,09-01-1967 ,480.605
403,10-01-1967 ,577.089
404,11-01-1967 ,889.539
405,12-01-1967 ,933.3960000000001
406,13-01-1967 ,955.585
407,14-01-1967 ,1040.147
408,15-01-1967 ,1100.361
409,16-01-1967 ,1033.912
410,17-01-1967 ,912.46
411,18-01-1967 ,903.568
412,19-01-1967 ,903.568
413,20-01-1967 ,903.568
414,21-01-1967 ,903.568
415,22-01-1967 ,903.568
416,23-01-1967 ,913.943
417,24-01-1967 ,950.0419999999999
418,25-01-1967 ,969.074
419,26-01-1967 ,992.294
420,27-01-1967 ,1032.4489999999998
421,28-01-1967 ,1035.1760000000002
422,29-01-1967 ,1035.1760000000002
423,30-01-1967 ,1035.1760000000002
424,31-01-1967 ,1035.1760000000002
425,01-01-1968 ,2442.311
426,02-01-1968 ,2352.133
427,03-01-1968 ,2346.416
428,04-01-1968 ,2484.384
429,05-01-1968 ,2672.147
430,06-01-1968 ,2428.1279999999997
431,07-01-1968 ,2408.235
432,08-01-1968 ,2408.235
433,09-01-1968 ,2432.422
434,10-01-1968 ,2426.8579999999997
435,11-01-1968 ,2189.763
436,12-01-1968 ,1775.5539999999999
437,13-01-1968 ,1632.485
438,14-01-1968 ,1658.0520000000001
439,15-01-1968 ,1658.5910000000001
440,16-01-1968 ,1653.695
441,17-01-1968 ,1616.96
442,18-01-1968 ,1434.905
443,19-01-1968 ,1253.279
444,20-01-1968 ,1143.406
445,21-01-1968 ,1131.219
446,22-01-1968 ,1111.248
447,23-01-1968 ,1098.522
448,24-01-1968 ,1108.82
449,25-01-1968 ,1083.867
450,26-01-1968 ,1061.236
451,27-01-1968 ,1089.714
452,28-01-1968 ,1087.008
453,29-01-1968 ,1066.086
454,30-01-1968 ,1040.632
455,31-01-1968 ,1007.503
456,01-01-1969 ,710.31
457,02-01-1969 ,709.423
458,03-01-1969 ,705.419
459,04-01-1969 ,688.993
460,05-01-1969 ,676.81
461,06-01-1969 ,668.694
462,07-01-1969 ,645.236
463,08-01-1969 ,747.179
464,09-01-1969 ,1107.34
465,10-01-1969 ,1137.88
466,11-01-1969 ,1137.88
467,12-01-1969 ,1160.563
468,13-01-1969 ,1239.987
469,14-01-1969 ,1271.39
470,15-01-1969 ,1308.516
